session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,First language,Nationality,Sex,Student Status,Vision
5ff8412ad63e9158fbea25a5,5f33289c1fe9181376ee67d9,APPROVED,2021-01-08 11:26:49.120000,2021-01-08 11:41:12.034000,862.914,20,97,1,99,2021-01-08 12:07:21.980000,4422804F,South Africa,South Africa,Other,DATA EXPIRED,English,South Africa,Female,Yes,Yes
5ff8412bca1cd959f381e8f9,5decc61a488cde39be161a91,APPROVED,2021-01-08 11:25:40.863000,2021-01-08 11:35:25.128000,584.265,61,291,2,100,2021-01-08 12:07:25.715000,4422804F,United Kingdom,United Kingdom,Full-Time,English,,United Kingdom,Male,No,Yes
5ff8412ebb5f425960b78b16,5f0f2ff0762218000970c967,APPROVED,2021-01-08 11:25:48.334000,2021-01-08 11:40:59.095000,910.761,24,84,0,100,2021-01-08 12:07:33.359000,4422804F,United Kingdom,United Kingdom,Other,English,English,United Kingdom,Female,No,Yes
5ff8412e15bb9759903ea5bb,5da760eae8174b001640d369,APPROVED,2021-01-08 11:25:34.792000,2021-01-08 11:36:16.457000,641.665,43,120,1,100,2021-01-08 12:07:29.466000,4422804F,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Male,No,Yes
5ff8413050f436597b34accc,5383def8fdf99b5111d7ccf2,APPROVED,2021-01-08 11:25:39.975000,2021-01-08 11:36:24.953000,644.978,28,794,3,100,2021-01-08 12:07:36.243000,4422804F,United States,United States,Full-Time,English,English,United States,Female,No,Yes
5ff84133d13665590f55a29a,59feed1da383a100011b3eaa,APPROVED,2021-01-08 11:25:39.137000,2021-01-08 11:41:31.913000,952.776,46,1283,3,100,2021-01-08 12:07:45.515000,4422804F,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Male,No,Yes
5ff84133427939581d4fee32,5fa18024e8db28293edae14e,APPROVED,2021-01-08 11:25:42.225000,2021-01-08 11:34:56.997000,554.772,27,53,0,100,2021-01-08 12:07:41.794000,4422804F,United Kingdom,United Kingdom,Part-Time,DATA EXPIRED,English,United Kingdom,Female,No,Yes
5ff8413680d5bf58550ad949,5a57c51876d1c60001ab090d,APPROVED,2021-01-08 11:28:26.020000,2021-01-08 11:35:06.021000,400.001,47,598,1,100,2021-01-08 12:07:52.814000,NOCODE,United Kingdom,United Kingdom,Part-Time,English,,United Kingdom,Female,No,Yes
5ff841397923985a833e89d1,5c010c054e1b7b00016a2336,APPROVED,2021-01-08 11:26:20.126000,2021-01-08 11:39:15.125000,774.999,42,503,4,99,2021-01-08 12:07:57.818000,4422804F,United Kingdom,United Kingdom,Full-Time,English,,United Kingdom,Male,No,Yes
5ff841398573f059507648a0,5ed489ccc238ad44a82adcb4,APPROVED,2021-01-08 11:25:45.785000,2021-01-08 11:35:38.087000,592.302,39,173,0,100,2021-01-08 12:08:02.412000,4422804F,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Male,No,Yes
5ff84140fb8b2558e4278cdb,5dc3224ff3795b23e5ec7c65,APPROVED,2021-01-08 11:25:52.372000,2021-01-08 11:37:28.714000,696.342,28,422,0,100,2021-01-08 12:08:06.074000,4422804F,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Male,No,Yes
5ff84140affef259e5d62fcc,5dc151136bba9b0b6d979aa8,APPROVED,2021-01-08 11:25:52.728000,2021-01-08 12:08:22.925000,2550.197,58,363,1,100,2021-01-08 13:11:29.864000,NoCode,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Male,No,Yes
5ff84146a5d9a559b6040dae,5bfa8c4b18430e0001865d19,APPROVED,2021-01-08 11:25:58.674000,2021-01-08 11:45:55.950000,1197.276,56,481,3,100,2021-01-08 12:08:10.234000,4422804F,United Kingdom,United Kingdom,Unemployed (and job seeking),English,English,United Kingdom,Male,No,Yes
5ff8414a530ada58ea8ee0a9,568d912de3ef9e000ca0da9e,APPROVED,2021-01-08 11:26:02.118000,2021-01-08 11:37:01.154000,659.036,44,786,5,100,2021-01-08 12:08:15.195000,4422804F,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Male,No,Yes
5ff8414cca1cd9597be2cb20,5f40442792000717762de583,APPROVED,2021-01-08 11:26:04.138000,2021-01-08 11:39:46.859000,822.721,,253,0,100,2021-01-08 12:08:21.209000,4422804F,United States,United States,Other,DATA EXPIRED,English,United States,Male,Yes,Yes
