,target,target_present,set_size,response,search_time,correct
536,Q,0,1,0,4,1
537,Q,0,1,0,2,1
538,Q,0,1,0,3,1
539,Q,0,1,1,3,0
540,Q,0,1,0,3,1
541,Q,0,1,0,6,1
542,Q,0,1,0,2,1
543,Q,0,1,1,2,0
544,Q,0,1,0,2,1
545,Q,0,1,1,3,0
546,Q,0,1,0,2,1
547,Q,0,1,0,4,1
548,Q,0,1,0,3,1
549,Q,0,1,0,6,1
550,Q,0,1,0,2,1
551,Q,0,1,0,3,1
552,Q,0,1,0,2,1
553,Q,0,1,0,2,1
554,Q,0,1,0,2,1
555,Q,0,1,0,4,1
556,Q,0,1,0,4,1
557,Q,0,1,0,3,1
558,Q,0,1,1,2,0
559,Q,0,1,0,2,1
560,Q,0,1,0,2,1
561,Q,0,1,0,2,1
562,Q,0,1,0,5,1
563,Q,0,1,0,4,1
564,Q,0,1,0,2,1
565,Q,0,1,0,2,1
566,Q,0,1,0,2,1
567,Q,0,1,0,3,1
568,Q,0,1,0,3,1
569,Q,0,1,0,2,1
570,Q,0,1,0,4,1
571,Q,0,1,0,2,1
572,Q,0,1,0,2,1
573,Q,0,1,0,4,1
574,Q,0,1,0,5,1
575,Q,0,1,0,2,1
576,Q,0,1,0,3,1
577,Q,0,1,0,3,1
578,Q,0,1,0,4,1
579,Q,0,1,1,2,0
580,Q,0,1,0,4,1
581,Q,0,1,0,2,1
582,Q,0,1,0,3,1
583,Q,0,1,0,2,1
584,Q,0,1,0,2,1
585,Q,0,1,0,2,1
586,Q,0,1,1,3,0
587,Q,0,1,0,2,1
588,Q,0,1,0,4,1
589,Q,0,1,0,2,1
590,Q,0,1,0,2,1
591,Q,0,1,0,2,1
592,Q,0,1,0,2,1
593,Q,0,1,0,3,1
594,Q,0,1,0,3,1
595,Q,0,1,0,2,1
596,Q,0,1,0,2,1
597,Q,0,1,0,3,1
598,Q,0,1,1,3,0
599,Q,0,1,0,4,1
600,Q,0,1,0,3,1
601,Q,0,1,0,4,1
602,Q,0,1,0,2,1
603,Q,0,1,1,10,0
604,Q,0,1,0,2,1
605,Q,0,1,0,2,1
606,Q,0,1,0,3,1
607,Q,0,1,0,2,1
608,Q,0,1,0,2,1
609,Q,0,1,0,3,1
610,Q,0,1,0,2,1
611,Q,0,1,0,2,1
612,Q,0,1,0,3,1
613,Q,0,1,0,3,1
614,Q,0,1,0,4,1
615,Q,0,1,1,2,0
616,Q,0,1,0,2,1
617,Q,0,1,0,2,1
618,Q,0,1,0,4,1
619,Q,0,1,0,7,1
620,Q,0,1,0,3,1
621,Q,0,1,0,3,1
622,Q,0,1,0,4,1
623,Q,0,1,1,3,0
624,Q,0,1,0,6,1
625,Q,0,1,0,4,1
626,Q,0,1,0,2,1
627,Q,0,1,1,2,0
628,Q,0,1,0,6,1
629,Q,0,1,0,2,1
630,Q,0,1,0,3,1
631,Q,0,1,0,3,1
632,Q,0,1,0,2,1
633,Q,0,1,0,2,1
634,Q,0,1,0,3,1
635,Q,0,1,0,2,1
636,Q,0,1,0,3,1
637,Q,0,1,0,2,1
638,Q,0,1,1,3,0
639,Q,0,1,0,4,1
640,Q,0,1,0,3,1
641,Q,0,1,0,5,1
642,Q,0,1,0,2,1
643,Q,0,1,0,6,1
644,Q,0,1,0,6,1
645,Q,0,1,0,3,1
646,Q,0,1,0,2,1
647,Q,0,1,0,3,1
648,Q,0,1,0,2,1
649,Q,0,1,0,2,1
650,Q,0,1,0,4,1
651,Q,0,1,0,3,1
652,Q,0,1,0,2,1
653,Q,0,1,0,2,1
654,Q,0,1,0,2,1
655,Q,0,1,0,2,1
656,Q,0,1,0,5,1
657,Q,0,1,0,2,1
658,Q,0,1,0,2,1
659,Q,0,1,0,2,1
660,Q,0,1,0,5,1
661,Q,0,1,0,3,1
662,Q,0,1,0,3,1
663,Q,0,1,0,3,1
664,Q,0,1,0,5,1
665,Q,0,1,0,3,1
666,Q,0,1,0,2,1
667,Q,0,1,0,2,1
668,Q,0,1,0,5,1
669,Q,0,1,0,4,1
670,Q,0,1,0,4,1
671,Q,0,1,0,2,1
672,Q,0,1,1,2,0
673,Q,0,1,0,5,1
674,Q,0,1,0,2,1
675,Q,0,1,1,2,0
676,Q,0,1,0,3,1
677,Q,0,1,0,2,1
678,Q,0,1,0,2,1
679,Q,0,1,0,2,1
680,Q,0,1,0,2,1
681,Q,0,1,0,3,1
682,Q,0,1,0,3,1
683,Q,0,1,0,3,1
684,Q,0,1,0,3,1
685,Q,0,1,0,5,1
686,Q,0,1,1,3,0
687,Q,0,1,0,3,1
688,Q,0,1,0,4,1
689,Q,0,1,1,2,0
690,Q,0,1,0,4,1
691,Q,0,1,0,2,1
692,Q,0,1,0,3,1
693,Q,0,1,0,2,1
694,Q,0,1,0,2,1
695,Q,0,1,0,2,1
696,Q,0,1,0,2,1
697,Q,0,1,0,2,1
698,Q,0,1,0,3,1
699,Q,0,1,0,2,1
700,Q,0,1,0,2,1
701,Q,0,1,0,3,1
702,Q,0,1,0,4,1
703,Q,0,1,0,3,1
704,Q,0,1,0,3,1
705,Q,0,1,0,3,1
706,Q,0,1,0,6,1
707,Q,0,1,0,4,1
708,Q,0,1,0,5,1
709,Q,0,1,0,2,1
710,Q,0,1,0,8,1
711,Q,0,1,0,3,1
712,Q,0,1,0,3,1
713,Q,0,1,0,2,1
714,Q,0,1,0,3,1
715,Q,0,1,0,3,1
716,Q,0,1,0,2,1
717,Q,0,1,0,4,1
718,Q,0,1,0,3,1
719,Q,0,1,0,2,1
720,Q,0,1,0,2,1
721,Q,0,1,0,4,1
722,Q,0,1,0,2,1
723,Q,0,1,0,2,1
724,Q,0,1,0,2,1
725,Q,0,1,0,2,1
726,Q,0,1,0,3,1
727,Q,0,1,0,2,1
728,Q,0,1,1,2,0
729,Q,0,1,0,2,1
730,Q,0,1,0,2,1
731,Q,0,1,0,4,1
732,Q,0,1,0,3,1
733,Q,0,1,0,2,1
734,Q,0,1,0,3,1
735,Q,0,1,0,4,1
736,Q,0,1,0,2,1
737,Q,0,1,0,2,1
738,Q,0,1,0,7,1
739,Q,0,1,0,2,1
740,Q,0,1,0,3,1
741,Q,0,1,0,2,1
742,Q,0,1,0,3,1
743,Q,0,1,0,3,1
744,Q,0,1,0,2,1
745,Q,0,1,0,2,1
746,Q,0,1,0,4,1
747,Q,0,1,0,4,1
748,Q,0,1,0,2,1
749,Q,0,1,0,2,1
750,Q,0,1,0,4,1
751,Q,0,1,0,2,1
752,Q,0,1,0,2,1
753,Q,0,1,0,2,1
754,Q,0,1,0,3,1
755,Q,0,1,0,3,1
756,Q,0,1,1,6,0
757,Q,0,1,0,3,1
758,Q,0,1,0,3,1
